Altium Designer Pick and Place Locations
C:\Users\Ravi_\OneDrive\Desktop\Altium_projects\Personal_gif_ravi\Altium_personal_project\PCB_Personal_Gif\Project Outputs for PCB_Personal_Gif\Pick Place for GIF_PCB.csv

========================================================================================================================
File Design Information:

Date:       21-01-26
Time:       15:55
Revision:   373ff910386babc199199a6856fbba5f0f71735c
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"Ps1","430182043816","TopLayer","430182043816","-815.000mil","2235.000mil","180","Switch"
"IC7","SN74HCT244DWRG4","TopLayer","SOIC127P1030X265-20N","-10.000mil","2305.000mil","90","Integrated Circuit"
"SC_1","LCD__NHD-0216","TopLayer","NHD_NHD-0216K1Z-NSW-BBW-L","29.843mil","3260.079mil","0","Character Liquid Crystal Display Module.+5.0V INPUT Power"
"Rp","1 kOhms","TopLayer","YAGEO_RES_0402_1005","-110.000mil","1610.000mil","270","RES SMD 1K OHM 0.1% 1/16W 0402"
"Rp2","1 kOhms","TopLayer","YAGEO_RES_0402_1005","205.000mil","1445.000mil","270","RES SMD 1K OHM 0.1% 1/16W 0402"
"Rbias","100 kOhms","TopLayer","RES_0402_1005","330.000mil","1525.000mil","270","RES 100K OHM 0.1% 1/10W 0402"
"Rbias_2","100 kOhms","TopLayer","RES_0402_1005","325.000mil","1402.638mil","90","RES 100K OHM 0.1% 1/10W 0402"
"R19","47 kOhms","BottomLayer","YAGEO_RES_0402_1005","120.000mil","1490.315mil","90","RES SMD 47K OHM 5% 1/16W 0402"
"R18","47 kOhms","BottomLayer","YAGEO_RES_0402_1005","120.000mil","1574.685mil","90","RES SMD 47K OHM 5% 1/16W 0402"
"R17","100 kOhms","TopLayer","RES_0402_1005","507.362mil","1555.000mil","0","RES 100K OHM 0.1% 1/10W 0402"
"R15","4.7 kOhms","BottomLayer","YAGEO_RES_0402_1005","300.000mil","960.000mil","0","RES SMD 4.7K OHM 1% 1/16W 0402"
"R14","4.7 kOhms","BottomLayer","YAGEO_RES_0402_1005","350.000mil","1270.000mil","0","RES SMD 4.7K OHM 1% 1/16W 0402"
"J4","M50-3630542","BottomLayer","M503630542","370.000mil","1115.000mil","180","Connector"
"IC8","TS5A3157DBVR","TopLayer","SOT95P280X145-6N","434.213mil","1465.000mil","0","Integrated Circuit"
"Cp","10000 pF","TopLayer","CAP_0402_1005","-70.000mil","1645.000mil","270","CAP CER 0402 10NF 50V X7R 20%"
"Cp2","10000 pF","TopLayer","CAP_0402_1005","160.000mil","1405.000mil","90","CAP CER 0402 10NF 50V X7R 20%"
"C58","1 µF","BottomLayer","MURATA_GRM155_0402_1005","180.000mil","1525.000mil","180","CAP CER 1UF 10V X7S 0402"
"C57","0.1 µF","TopLayer","CAP_0402_1005","535.000mil","1485.000mil","270","CAP CER 0402 0.1UF 16V X7R 10%"
"C56","10 µF","TopLayer","CAP_0402_1005","580.000mil","1485.000mil","270","CAP CER 10UF 10V X5R 0402"
"C55","1 µF","TopLayer","MURATA_GRM155_0402_1005","265.000mil","1425.000mil","0","CAP CER 1UF 10V X7S 0402"
"C54","1 µF","BottomLayer","MURATA_GRM155_0402_1005","315.748mil","1320.000mil","0","CAP CER 1UF 10V X7S 0402"
"C53","0.1 µF","BottomLayer","CAP_0402_1005","540.000mil","1145.000mil","180","CAP CER 0402 0.1UF 16V X7R 10%"
"C52","10 µF","BottomLayer","CAP_0402_1005","537.677mil","1190.000mil","180","CAP CER 10UF 10V X5R 0402"
"IC3","LD1117AS33TR","BottomLayer","SOT230P700X190-4N","-1135.000mil","1780.000mil","180","Power Supply"
"Cs","0.1 µF","TopLayer","CAP_0402_1005","-300.000mil","2475.000mil","270","CAP CER 0402 0.1UF 16V X7R 10%"
"Cb","0.1 µF","TopLayer","CAP_0402_1005","2530.000mil","2172.323mil","90","CAP CER 0402 0.1UF 16V X7R 10%"
"C13","10 µF","BottomLayer","CAP_0402_1005","-945.000mil","1795.000mil","270","CAP CER 10UF 10V X5R 0402"
"C12","10 µF","BottomLayer","CAP_0402_1005","-945.000mil","1712.677mil","270","CAP CER 10UF 10V X5R 0402"
"C11","10 µF","BottomLayer","CAP_0402_1005","-1275.000mil","1280.000mil","270","CAP CER 10UF 10V X5R 0402"
"C10","10 µF","BottomLayer","CAP_0402_1005","-1070.000mil","977.677mil","270","CAP CER 10UF 10V X5R 0402"
"C9","10 µF","BottomLayer","CAP_0402_1005","-1115.000mil","977.677mil","270","CAP CER 10UF 10V X5R 0402"
"C8","10 µF","BottomLayer","CAP_0402_1005","-1160.000mil","977.677mil","270","CAP CER 10UF 10V X5R 0402"
"C7","0.1 µF","BottomLayer","CAP_0402_1005","-1680.000mil","1390.000mil","270","CAP CER 0402 0.1UF 16V X7R 10%"
"C6","10 µF","BottomLayer","CAP_0402_1005","-1970.000mil","1210.000mil","90","CAP CER 10UF 10V X5R 0402"
"C5","0.1 µF","BottomLayer","CAP_0402_1005","-1925.000mil","1210.000mil","90","CAP CER 0402 0.1UF 16V X7R 10%"
"C4","10 µF","BottomLayer","CAP_0402_1005","-1705.000mil","1245.000mil","270","CAP CER 10UF 10V X5R 0402"
"C3","10 µF","BottomLayer","CAP_0402_1005","-1505.000mil","1325.000mil","270","CAP CER 10UF 10V X5R 0402"
"Rs1","5.1 Ohms","BottomLayer","YAGEO_RES_0402_1005","-835.000mil","1210.000mil","270","RES 5.1 OHM 5% 1/16W 0402"
"Rb3","1 kOhms","BottomLayer","YAGEO_RES_0402_1005","-1570.000mil","1420.000mil","180","RES SMD 1K OHM 0.1% 1/16W 0402"
"Rb2","220 kOhms","BottomLayer","YAGEO_RES_0402_1005","-1635.000mil","1390.000mil","270","RES 220K OHM 1% 1/16W 0402"
"Rb1","470 kOhms","BottomLayer","RES_0402_1005","-1590.000mil","1350.000mil","270","RES 470K OHM 1% 1/8W 0402"
"R_pull","10 kOhms","BottomLayer","RES_0402_1005","-1765.000mil","1380.000mil","90","RES 10K OHM 0.1% 1/10W 0402"
"R_prog","2.05 kOhms","BottomLayer","RES_0402_1005","-1840.000mil","1360.000mil","180","RES SMD 2.05KOHM 0.1% 1/16W 0402"
"Lb","2.2 µH","BottomLayer","BOURNS_SRP5030T","-1116.417mil","1265.000mil","0","FIXED IND 2.2UH 5.5A 35 MOHM SMD"
"J2","B2B-PH-SM4-TB","BottomLayer","B2BPHSM4TB","-1480.630mil","1110.709mil","0","Connector"
"IC2","TPS613222ADBVR","BottomLayer","SOT95P280X145-5N","-1080.000mil","1090.000mil","180","Integrated Circuit"
"Ds1","SS24FL-TP","BottomLayer","SODFL5026X125N","-915.000mil","1190.669mil","90","Diode"
"D_or2","SS24FL-TP","BottomLayer","SODFL5026X125N","-745.000mil","1170.000mil","270","Diode"
"D_or1","SS24FL-TP","BottomLayer","SODFL5026X125N","-1895.000mil","1555.000mil","180","Diode"
"Cs1","120 pF","BottomLayer","CAP_0402_1005","-840.000mil","1100.000mil","270","CAP CER 120PF 50V C0G 0402"
"Rb","330 Ohms","TopLayer","RES_0402_1005","2530.000mil","2285.000mil","270","RES SMD 330 OHM 0.1% 1/16W 0402"
"R_SD","2.2 kOhms","TopLayer","RES_0402_1005","395.000mil","1620.000mil","0","RES 2.2K OHM 0.1% 1/16W 0402"
"R_SC","2.2 kOhms","TopLayer","RES_0402_1005","330.000mil","1825.000mil","90","RES 2.2K OHM 0.1% 1/16W 0402"
"R_QP","22 Ohms","TopLayer","RES_0402_1005","-255.000mil","1405.000mil","270","RES SMD 22 OHM 0.5% 1/16W 0402"
"IC6","SN74AHCT1G125DBVR","TopLayer","SOT95P280X145-5N","2635.000mil","2230.000mil","180","Integrated Circuit"
"CE","220 µF","TopLayer","CAP_ALSMD_8.3MM_H10.5MM","1210.000mil","1165.000mil","0","CAP ALUM 220UF 20% 35V SMD"
"C23","0.1 µF","TopLayer","CAP_0402_1005","-620.000mil","1820.000mil","270","CAP CER 0402 0.1UF 16V X7R 10%"
"R12","60.4 Ohms","TopLayer","RES_0402_1005","120.000mil","1790.000mil","270","RES SMD 60.4 OHM 0.1% 1/16W 0402"
"U3","LM386MX-1NOPB","TopLayer","M08A_TEX","884.689mil","1484.689mil","0","IC AMP CLASS AB MONO 325MW 8SOIC.AUDIO AMPLIFIER"
"U2","proximity_sensor","TopLayer","SMT_X01-GS08_VIS","309.689mil","1704.689mil","270","Proximity Sensors INTEGRATED PROXIMITY + IR LED."
"U1","raspberry_pi_SC0194","TopLayer","QFN56_7X7_RPI","-440.311mil","1759.689mil","180","rp2040 rapberri Pi Microcontroller"
"R13","10 kOhms","TopLayer","RES_0402_1005","-1060.000mil","2300.000mil","90","RES 10K OHM 0.1% 1/10W 0402"
"R11","10 Ohms","TopLayer","RES_0402_1005","1012.362mil","1360.000mil","180","RES SMD 10 OHM 0.5% 1/16W 0402"
"R10","1.2 kOhms","TopLayer","RES_0402_1005","1077.362mil","1620.000mil","0","RES SMD 1.2K OHM 0.5% 1/16W 0402"
"R9","10 kOhms","TopLayer","RES_0402_1005","670.000mil","1450.000mil","0","RES SMD 10K OHM 5% 1/16W 0402"
"R8","10 Ohms","TopLayer","RES_0402_1005","525.000mil","1715.000mil","270","RES SMD 10 OHM 0.5% 1/16W 0402"
"R7","3.6 kOhms","TopLayer","RES_0402_1005","-1055.311mil","4079.689mil","180","RES 3.6K OHM 1% 1/16W 0402"
"R6","10 kOhms","TopLayer","RES_0402_1005","-1105.311mil","4029.689mil","180","RES 10K OHM 0.1% 1/10W 0402"
"R5","75 Ohms","TopLayer","RES_0402_1005","-1150.311mil","4089.689mil","180","RES SMD 75 OHM 5% 1/10W 0402"
"R4","10K","TopLayer","RES_0402_1005","115.000mil","1260.000mil","0","RES 10K OHM 0.1% 1/10W 0402"
"R3","22 Ohms","TopLayer","RES_0402_1005","44.689mil","1239.689mil","90","RES SMD 22 OHM 0.5% 1/16W 0402"
"R2","27.4 Ohms","TopLayer","RES_0402_1005","-495.000mil","1490.000mil","270","RES 27.4 OHM 1% 1/16W 0402"
"R1","27.4 Ohms","TopLayer","RES_0402_1005","-455.000mil","1490.000mil","270","RES 27.4 OHM 1% 1/16W 0402"
"L10","LED_Addressable","TopLayer","COM-16347_SPK","-2675.311mil","2418.075mil","180",""
